origin_name,delivered
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-06 Prainha (regua fluviometrica),True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,False
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
ATG-BLU-01 Vila Itoupava,True
ATG-BLU-02 Itoupava Central,True
ATG-BLU-04 Garcia,True
ATG-BLU-05 Velha,True
